Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"18 Sep 2025"
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Oslo Børs";NOK;78.60;84.60;77.40;83.60;"17/09/2025 16:27";CET;285411;23216407.20;83.60;17/09/2025
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;241.00;242.50;240.20;242.20;"17/09/2025 16:25";CET;1978514;478217462.10;242.20;17/09/2025
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;4.89;4.89;4.89;4.89;"17/09/2025 16:25";CET;213;1041.57;4.89;17/09/2025
EUROPRIS;NO0010735343;EPR;"Oslo Børs";NOK;104.00;104.00;102.20;102.20;"17/09/2025 16:25";CET;75471;7732741.40;102.20;17/09/2025
FRONTLINE;CY0200352116;FRO;"Oslo Børs";NOK;233.60;235.90;231.50;235.90;"17/09/2025 16:29";CET;1143089;267445570.10;235.90;17/09/2025
"GENTIAN DIAGNOSTIC";NO0010748866;GENT;"Oslo Børs";NOK;55.00;55.80;55.00;55.60;"17/09/2025 13:32";CET;2065;115027.20;55.60;17/09/2025
"GJENSIDIGE FORSIKR";NO0010582521;GJF;"Oslo Børs";NOK;282.00;283.00;280.40;282.40;"17/09/2025 16:25";CET;232138;65506009.40;282.40;17/09/2025
GOODTECH;NO0004913609;GOD;"Oslo Børs";NOK;9.44;9.44;9.10;9.18;"17/09/2025 16:27";CET;18809;173517.98;9.18;17/09/2025
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;68.85;69.00;68.15;68.35;"17/09/2025 16:25";CET;242092;16751092.50;68.35;17/09/2025
GYLDENDAL;NO0004288200;GYL;"Oslo Børs";NOK;440.00;440.00;440.00;440.00;"26/08/2025 10:41";CET;10;4400.00;440.00;17/09/2025
"HAFNIA LIMITED";SGXZ53070850;HAFNI;"Oslo Børs";NOK;62.26;63.36;62.04;62.44;"17/09/2025 16:28";CET;826248;51761348.94;62.44;17/09/2025
"HAUGESUND SPB";NO0010764053;HGSB;"Oslo Børs";NOK;155.00;155.02;155.00;155.00;"17/09/2025 15:15";CET;926;143531.00;155.00;17/09/2025
"HAVILA SHIPPING";NO0010257728;HAVI;"Oslo Børs";NOK;1.40;1.465;1.40;1.41;"17/09/2025 16:28";CET;53003;75618.02;1.41;17/09/2025
"HERMANA HOLDING";NO0013401380;HERMA;"Oslo Børs";NOK;13.15;13.45;13.10;13.45;"17/09/2025 16:25";CET;1448;19094.85;13.45;17/09/2025
"HEXAGON COMPOSITES";NO0003067902;HEX;"Oslo Børs";NOK;14.06;14.28;12.76;12.92;"17/09/2025 16:29";CET;16237279;220015171.50;12.92;17/09/2025
"HEXAGON PURUS";NO0010904923;HPUR;"Oslo Børs";NOK;1.576;1.608;1.51;1.56;"17/09/2025 16:25";CET;622524;967772.01;1.56;17/09/2025
"HIMALAYA SHIPPING";BMG4660A1036;HSHP;"Oslo Børs";NOK;86.40;87.40;86.00;86.60;"17/09/2025 16:25";CET;129020;11185056.80;86.60;17/09/2025
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;1.815;1.88;1.77;1.80;"17/09/2025 16:25";CET;152555;274153.26;1.80;17/09/2025
HYDROGENPRO;NO0010892359;HYPRO;"Oslo Børs";NOK;3.00;3.18;3.00;3.15;"17/09/2025 16:19";CET;8523;26043.45;3.15;17/09/2025
